dataset	id	rel_path	abs_path
VisA	0945	VisA/pcb3/train/good/0945.JPG	/mnt/nfs/wmd/data/Industrial_test_real/VisA/pcb3/train/good/0945.JPG
VisA	0405	VisA/macaroni2/train/good/0405.JPG	/mnt/nfs/wmd/data/Industrial_test_real/VisA/macaroni2/train/good/0405.JPG
VisA	474	VisA/cashew/train/good/474.JPG	/mnt/nfs/wmd/data/Industrial_test_real/VisA/cashew/train/good/474.JPG
VisA	271	VisA/fryum/train/good/271.JPG	/mnt/nfs/wmd/data/Industrial_test_real/VisA/fryum/train/good/271.JPG
VisA	0856	VisA/macaroni1/train/good/0856.JPG	/mnt/nfs/wmd/data/Industrial_test_real/VisA/macaroni1/train/good/0856.JPG
MPDD	013	MPDD/tubes/test/good/013.png	/mnt/nfs/wmd/data/Industrial_test_real/MPDD/tubes/test/good/013.png
MPDD	016	MPDD/metal_plate/test/total_rust/016.png	/mnt/nfs/wmd/data/Industrial_test_real/MPDD/metal_plate/test/total_rust/016.png
MPDD	010	MPDD/metal_plate/test/good/010.png	/mnt/nfs/wmd/data/Industrial_test_real/MPDD/metal_plate/test/good/010.png
VisA	335	VisA/capsules/train/good/335.JPG	/mnt/nfs/wmd/data/Industrial_test_real/VisA/capsules/train/good/335.JPG
VisA	059	VisA/cashew/train/good/059.JPG	/mnt/nfs/wmd/data/Industrial_test_real/VisA/cashew/train/good/059.JPG
VisA	0280	VisA/pcb3/train/good/0280.JPG	/mnt/nfs/wmd/data/Industrial_test_real/VisA/pcb3/train/good/0280.JPG
VisA	0922	VisA/pcb4/train/good/0922.JPG	/mnt/nfs/wmd/data/Industrial_test_real/VisA/pcb4/train/good/0922.JPG
MPDD	014	MPDD/bracket_brown/test/good/014.png	/mnt/nfs/wmd/data/Industrial_test_real/MPDD/bracket_brown/test/good/014.png
VisA	0416	VisA/pcb2/train/good/0416.JPG	/mnt/nfs/wmd/data/Industrial_test_real/VisA/pcb2/train/good/0416.JPG
MPDD	018	MPDD/bracket_brown/test/parts_mismatch/018.png	/mnt/nfs/wmd/data/Industrial_test_real/MPDD/bracket_brown/test/parts_mismatch/018.png
VisA	0392	VisA/pcb1/train/good/0392.JPG	/mnt/nfs/wmd/data/Industrial_test_real/VisA/pcb1/train/good/0392.JPG
VisA	0912	VisA/candle/train/good/0912.JPG	/mnt/nfs/wmd/data/Industrial_test_real/VisA/candle/train/good/0912.JPG
VisA	302	VisA/chewinggum/train/good/302.JPG	/mnt/nfs/wmd/data/Industrial_test_real/VisA/chewinggum/train/good/302.JPG
VisA	0059	VisA/macaroni1/train/good/0059.JPG	/mnt/nfs/wmd/data/Industrial_test_real/VisA/macaroni1/train/good/0059.JPG
VisA	0716	VisA/macaroni1/train/good/0716.JPG	/mnt/nfs/wmd/data/Industrial_test_real/VisA/macaroni1/train/good/0716.JPG
MPDD	001	MPDD/bracket_brown/test/bend_and_parts_mismatch/001.png	/mnt/nfs/wmd/data/Industrial_test_real/MPDD/bracket_brown/test/bend_and_parts_mismatch/001.png
